provincia,cantidad
Camión,53067
Otra Clase,3067
Trailer,4700
Automóvil,336281
Tanquero,2084
Autobus,7837
Motocicleta,85918
Jeep,117365
Camioneta,237524
Furgoneta P,46272
Furgoneta C,17125
Volqueta,7668
